Scene,Participant,variable,value
2D Label,P01,SUS:I found the various functions in this system were well integrated.  ,4.0
2D Label,P02,SUS:I found the various functions in this system were well integrated.  ,5.0
2D Label,P03,SUS:I found the various functions in this system were well integrated.  ,5.0
2D Label,P04,SUS:I found the various functions in this system were well integrated.  ,5.0
2D Label,P05,SUS:I found the various functions in this system were well integrated.  ,5.0
2D Label,P06,SUS:I found the various functions in this system were well integrated.  ,5.0
2D Label,P07,SUS:I found the various functions in this system were well integrated.  ,5.0
2D Label,P08,SUS:I found the various functions in this system were well integrated.  ,3.0
2D Label,P10,SUS:I found the various functions in this system were well integrated.  ,4.0
2D Label,P11,SUS:I found the various functions in this system were well integrated.  ,5.0
2D Label,P12,SUS:I found the various functions in this system were well integrated.  ,5.0
3D Ghost,P02,SUS:I found the various functions in this system were well integrated.  ,5.0
3D Ghost,P03,SUS:I found the various functions in this system were well integrated.  ,4.0
3D Ghost,P04,SUS:I found the various functions in this system were well integrated.  ,5.0
3D Ghost,P05,SUS:I found the various functions in this system were well integrated.  ,3.0
3D Ghost,P06,SUS:I found the various functions in this system were well integrated.  ,5.0
3D Ghost,P07,SUS:I found the various functions in this system were well integrated.  ,4.0
3D Ghost,P08,SUS:I found the various functions in this system were well integrated.  ,4.0
3D Ghost,P09,SUS:I found the various functions in this system were well integrated.  ,5.0
3D Ghost,P10,SUS:I found the various functions in this system were well integrated.  ,5.0
3D Ghost,P11,SUS:I found the various functions in this system were well integrated.  ,3.0
3D Ghost,P12,SUS:I found the various functions in this system were well integrated.  ,4.0
2D Label,P01,Unnamed: 11,3.0
2D Label,P02,Unnamed: 11,4.0
2D Label,P03,Unnamed: 11,4.0
2D Label,P04,Unnamed: 11,4.0
2D Label,P05,Unnamed: 11,4.0
2D Label,P06,Unnamed: 11,4.0
2D Label,P07,Unnamed: 11,4.0
2D Label,P08,Unnamed: 11,2.0
2D Label,P10,Unnamed: 11,3.0
2D Label,P11,Unnamed: 11,4.0
2D Label,P12,Unnamed: 11,4.0
3D Ghost,P02,Unnamed: 11,4.0
3D Ghost,P03,Unnamed: 11,3.0
3D Ghost,P04,Unnamed: 11,4.0
3D Ghost,P05,Unnamed: 11,2.0
3D Ghost,P06,Unnamed: 11,4.0
3D Ghost,P07,Unnamed: 11,3.0
3D Ghost,P08,Unnamed: 11,3.0
3D Ghost,P09,Unnamed: 11,4.0
3D Ghost,P10,Unnamed: 11,4.0
3D Ghost,P11,Unnamed: 11,2.0
3D Ghost,P12,Unnamed: 11,3.0
2D Label,P01,SUS:I thought there was too much inconsistency in this system  ,1.0
2D Label,P02,SUS:I thought there was too much inconsistency in this system  ,1.0
2D Label,P03,SUS:I thought there was too much inconsistency in this system  ,1.0
2D Label,P04,SUS:I thought there was too much inconsistency in this system  ,3.0
2D Label,P05,SUS:I thought there was too much inconsistency in this system  ,1.0
2D Label,P06,SUS:I thought there was too much inconsistency in this system  ,1.0
2D Label,P07,SUS:I thought there was too much inconsistency in this system  ,2.0
2D Label,P08,SUS:I thought there was too much inconsistency in this system  ,3.0
2D Label,P10,SUS:I thought there was too much inconsistency in this system  ,2.0
2D Label,P11,SUS:I thought there was too much inconsistency in this system  ,1.0
2D Label,P12,SUS:I thought there was too much inconsistency in this system  ,1.0
3D Ghost,P02,SUS:I thought there was too much inconsistency in this system  ,1.0
3D Ghost,P03,SUS:I thought there was too much inconsistency in this system  ,2.0
3D Ghost,P04,SUS:I thought there was too much inconsistency in this system  ,3.0
3D Ghost,P05,SUS:I thought there was too much inconsistency in this system  ,2.0
3D Ghost,P06,SUS:I thought there was too much inconsistency in this system  ,2.0
3D Ghost,P07,SUS:I thought there was too much inconsistency in this system  ,2.0
3D Ghost,P08,SUS:I thought there was too much inconsistency in this system  ,2.0
3D Ghost,P09,SUS:I thought there was too much inconsistency in this system  ,1.0
3D Ghost,P10,SUS:I thought there was too much inconsistency in this system  ,1.0
3D Ghost,P11,SUS:I thought there was too much inconsistency in this system  ,3.0
3D Ghost,P12,SUS:I thought there was too much inconsistency in this system  ,1.0
2D Label,P01,Unnamed: 13,4.0
2D Label,P02,Unnamed: 13,4.0
2D Label,P03,Unnamed: 13,4.0
2D Label,P04,Unnamed: 13,2.0
2D Label,P05,Unnamed: 13,4.0
2D Label,P06,Unnamed: 13,4.0
2D Label,P07,Unnamed: 13,3.0
2D Label,P08,Unnamed: 13,2.0
2D Label,P10,Unnamed: 13,3.0
2D Label,P11,Unnamed: 13,4.0
2D Label,P12,Unnamed: 13,4.0
3D Ghost,P02,Unnamed: 13,4.0
3D Ghost,P03,Unnamed: 13,3.0
3D Ghost,P04,Unnamed: 13,2.0
3D Ghost,P05,Unnamed: 13,3.0
3D Ghost,P06,Unnamed: 13,3.0
3D Ghost,P07,Unnamed: 13,3.0
3D Ghost,P08,Unnamed: 13,3.0
3D Ghost,P09,Unnamed: 13,4.0
3D Ghost,P10,Unnamed: 13,4.0
3D Ghost,P11,Unnamed: 13,2.0
3D Ghost,P12,Unnamed: 13,4.0
2D Label,P01,SUS:I would imagine that most people would learn to use this system very quickly.  ,4.0
2D Label,P02,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
2D Label,P03,SUS:I would imagine that most people would learn to use this system very quickly.  ,3.0
2D Label,P04,SUS:I would imagine that most people would learn to use this system very quickly.  ,4.0
2D Label,P05,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
2D Label,P06,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
2D Label,P07,SUS:I would imagine that most people would learn to use this system very quickly.  ,4.0
2D Label,P08,SUS:I would imagine that most people would learn to use this system very quickly.  ,4.0
2D Label,P10,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
2D Label,P11,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
2D Label,P12,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
3D Ghost,P02,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
3D Ghost,P03,SUS:I would imagine that most people would learn to use this system very quickly.  ,4.0
3D Ghost,P04,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
3D Ghost,P05,SUS:I would imagine that most people would learn to use this system very quickly.  ,4.0
3D Ghost,P06,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
3D Ghost,P07,SUS:I would imagine that most people would learn to use this system very quickly.  ,4.0
3D Ghost,P08,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
3D Ghost,P09,SUS:I would imagine that most people would learn to use this system very quickly.  ,4.0
3D Ghost,P10,SUS:I would imagine that most people would learn to use this system very quickly.  ,5.0
3D Ghost,P11,SUS:I would imagine that most people would learn to use this system very quickly.  ,3.0
3D Ghost,P12,SUS:I would imagine that most people would learn to use this system very quickly.  ,3.0
2D Label,P01,Unnamed: 15,3.0
2D Label,P02,Unnamed: 15,4.0
2D Label,P03,Unnamed: 15,2.0
2D Label,P04,Unnamed: 15,3.0
2D Label,P05,Unnamed: 15,4.0
2D Label,P06,Unnamed: 15,4.0
2D Label,P07,Unnamed: 15,3.0
2D Label,P08,Unnamed: 15,3.0
2D Label,P10,Unnamed: 15,4.0
2D Label,P11,Unnamed: 15,4.0
2D Label,P12,Unnamed: 15,4.0
3D Ghost,P02,Unnamed: 15,4.0
3D Ghost,P03,Unnamed: 15,3.0
3D Ghost,P04,Unnamed: 15,4.0
3D Ghost,P05,Unnamed: 15,3.0
3D Ghost,P06,Unnamed: 15,4.0
3D Ghost,P07,Unnamed: 15,3.0
3D Ghost,P08,Unnamed: 15,4.0
3D Ghost,P09,Unnamed: 15,3.0
3D Ghost,P10,Unnamed: 15,4.0
3D Ghost,P11,Unnamed: 15,2.0
3D Ghost,P12,Unnamed: 15,2.0
2D Label,P01,SUS:I found the system very cumbersome to use.  ,2.0
2D Label,P02,SUS:I found the system very cumbersome to use.  ,1.0
2D Label,P03,SUS:I found the system very cumbersome to use.  ,1.0
2D Label,P04,SUS:I found the system very cumbersome to use.  ,2.0
2D Label,P05,SUS:I found the system very cumbersome to use.  ,1.0
2D Label,P06,SUS:I found the system very cumbersome to use.  ,1.0
2D Label,P07,SUS:I found the system very cumbersome to use.  ,1.0
2D Label,P08,SUS:I found the system very cumbersome to use.  ,2.0
2D Label,P10,SUS:I found the system very cumbersome to use.  ,2.0
2D Label,P11,SUS:I found the system very cumbersome to use.  ,4.0
2D Label,P12,SUS:I found the system very cumbersome to use.  ,1.0
3D Ghost,P02,SUS:I found the system very cumbersome to use.  ,1.0
3D Ghost,P03,SUS:I found the system very cumbersome to use.  ,1.0
3D Ghost,P04,SUS:I found the system very cumbersome to use.  ,1.0
3D Ghost,P05,SUS:I found the system very cumbersome to use.  ,2.0
3D Ghost,P06,SUS:I found the system very cumbersome to use.  ,2.0
3D Ghost,P07,SUS:I found the system very cumbersome to use.  ,2.0
3D Ghost,P08,SUS:I found the system very cumbersome to use.  ,2.0
3D Ghost,P09,SUS:I found the system very cumbersome to use.  ,1.0
3D Ghost,P10,SUS:I found the system very cumbersome to use.  ,1.0
3D Ghost,P11,SUS:I found the system very cumbersome to use.  ,4.0
3D Ghost,P12,SUS:I found the system very cumbersome to use.  ,2.0
2D Label,P01,Unnamed: 17,3.0
2D Label,P02,Unnamed: 17,4.0
2D Label,P03,Unnamed: 17,4.0
2D Label,P04,Unnamed: 17,3.0
2D Label,P05,Unnamed: 17,4.0
2D Label,P06,Unnamed: 17,4.0
2D Label,P07,Unnamed: 17,4.0
2D Label,P08,Unnamed: 17,3.0
2D Label,P10,Unnamed: 17,3.0
2D Label,P11,Unnamed: 17,1.0
2D Label,P12,Unnamed: 17,4.0
3D Ghost,P02,Unnamed: 17,4.0
3D Ghost,P03,Unnamed: 17,4.0
3D Ghost,P04,Unnamed: 17,4.0
3D Ghost,P05,Unnamed: 17,3.0
3D Ghost,P06,Unnamed: 17,3.0
3D Ghost,P07,Unnamed: 17,3.0
3D Ghost,P08,Unnamed: 17,3.0
3D Ghost,P09,Unnamed: 17,4.0
3D Ghost,P10,Unnamed: 17,4.0
3D Ghost,P11,Unnamed: 17,1.0
3D Ghost,P12,Unnamed: 17,3.0
2D Label,P01,SUS:I felt very confident using the system.  ,4.0
2D Label,P02,SUS:I felt very confident using the system.  ,5.0
2D Label,P03,SUS:I felt very confident using the system.  ,4.0
2D Label,P04,SUS:I felt very confident using the system.  ,5.0
2D Label,P05,SUS:I felt very confident using the system.  ,5.0
2D Label,P06,SUS:I felt very confident using the system.  ,5.0
2D Label,P07,SUS:I felt very confident using the system.  ,4.0
2D Label,P08,SUS:I felt very confident using the system.  ,4.0
2D Label,P10,SUS:I felt very confident using the system.  ,4.0
2D Label,P11,SUS:I felt very confident using the system.  ,5.0
2D Label,P12,SUS:I felt very confident using the system.  ,5.0
3D Ghost,P02,SUS:I felt very confident using the system.  ,5.0
3D Ghost,P03,SUS:I felt very confident using the system.  ,5.0
3D Ghost,P04,SUS:I felt very confident using the system.  ,5.0
3D Ghost,P05,SUS:I felt very confident using the system.  ,3.0
3D Ghost,P06,SUS:I felt very confident using the system.  ,5.0
3D Ghost,P07,SUS:I felt very confident using the system.  ,5.0
3D Ghost,P08,SUS:I felt very confident using the system.  ,4.0
3D Ghost,P09,SUS:I felt very confident using the system.  ,5.0
3D Ghost,P10,SUS:I felt very confident using the system.  ,5.0
3D Ghost,P11,SUS:I felt very confident using the system.  ,2.0
3D Ghost,P12,SUS:I felt very confident using the system.  ,4.0
2D Label,P01,Unnamed: 19,3.0
2D Label,P02,Unnamed: 19,4.0
2D Label,P03,Unnamed: 19,3.0
2D Label,P04,Unnamed: 19,4.0
2D Label,P05,Unnamed: 19,4.0
2D Label,P06,Unnamed: 19,4.0
2D Label,P07,Unnamed: 19,3.0
2D Label,P08,Unnamed: 19,3.0
2D Label,P10,Unnamed: 19,3.0
2D Label,P11,Unnamed: 19,4.0
2D Label,P12,Unnamed: 19,4.0
3D Ghost,P02,Unnamed: 19,4.0
3D Ghost,P03,Unnamed: 19,4.0
3D Ghost,P04,Unnamed: 19,4.0
3D Ghost,P05,Unnamed: 19,2.0
3D Ghost,P06,Unnamed: 19,4.0
3D Ghost,P07,Unnamed: 19,4.0
3D Ghost,P08,Unnamed: 19,3.0
3D Ghost,P09,Unnamed: 19,4.0
3D Ghost,P10,Unnamed: 19,4.0
3D Ghost,P11,Unnamed: 19,1.0
3D Ghost,P12,Unnamed: 19,3.0
2D Label,P01,SUS:I needed to learn a lot of things before I could get going with this system.  ,2.0
2D Label,P02,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
2D Label,P03,SUS:I needed to learn a lot of things before I could get going with this system.  ,2.0
2D Label,P04,SUS:I needed to learn a lot of things before I could get going with this system.  ,3.0
2D Label,P05,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
2D Label,P06,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
2D Label,P07,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
2D Label,P08,SUS:I needed to learn a lot of things before I could get going with this system.  ,2.0
2D Label,P10,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
2D Label,P11,SUS:I needed to learn a lot of things before I could get going with this system.  ,2.0
2D Label,P12,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
3D Ghost,P02,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
3D Ghost,P03,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
3D Ghost,P04,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
3D Ghost,P05,SUS:I needed to learn a lot of things before I could get going with this system.  ,2.0
3D Ghost,P06,SUS:I needed to learn a lot of things before I could get going with this system.  ,2.0
3D Ghost,P07,SUS:I needed to learn a lot of things before I could get going with this system.  ,3.0
3D Ghost,P08,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
3D Ghost,P09,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
3D Ghost,P10,SUS:I needed to learn a lot of things before I could get going with this system.  ,1.0
3D Ghost,P11,SUS:I needed to learn a lot of things before I could get going with this system.  ,4.0
3D Ghost,P12,SUS:I needed to learn a lot of things before I could get going with this system.  ,2.0
2D Label,P01,Unnamed: 21,3.0
2D Label,P02,Unnamed: 21,4.0
2D Label,P03,Unnamed: 21,3.0
2D Label,P04,Unnamed: 21,2.0
2D Label,P05,Unnamed: 21,4.0
2D Label,P06,Unnamed: 21,4.0
2D Label,P07,Unnamed: 21,4.0
2D Label,P08,Unnamed: 21,3.0
2D Label,P10,Unnamed: 21,4.0
2D Label,P11,Unnamed: 21,3.0
2D Label,P12,Unnamed: 21,4.0
3D Ghost,P02,Unnamed: 21,4.0
3D Ghost,P03,Unnamed: 21,4.0
3D Ghost,P04,Unnamed: 21,4.0
3D Ghost,P05,Unnamed: 21,3.0
3D Ghost,P06,Unnamed: 21,3.0
3D Ghost,P07,Unnamed: 21,2.0
3D Ghost,P08,Unnamed: 21,4.0
3D Ghost,P09,Unnamed: 21,4.0
3D Ghost,P10,Unnamed: 21,4.0
3D Ghost,P11,Unnamed: 21,1.0
3D Ghost,P12,Unnamed: 21,3.0
2D Label,P01,SUS Score,82.5
2D Label,P02,SUS Score,100.0
2D Label,P03,SUS Score,87.5
2D Label,P04,SUS Score,82.5
2D Label,P05,SUS Score,100.0
2D Label,P06,SUS Score,97.5
2D Label,P07,SUS Score,87.5
2D Label,P08,SUS Score,72.5
2D Label,P10,SUS Score,75.0
2D Label,P11,SUS Score,77.5
2D Label,P12,SUS Score,100.0
3D Ghost,P02,SUS Score,97.5
3D Ghost,P03,SUS Score,85.0
3D Ghost,P04,SUS Score,85.0
3D Ghost,P05,SUS Score,70.0
3D Ghost,P06,SUS Score,87.5
3D Ghost,P07,SUS Score,75.0
3D Ghost,P08,SUS Score,80.0
3D Ghost,P09,SUS Score,92.5
3D Ghost,P10,SUS Score,100.0
3D Ghost,P11,SUS Score,45.0
3D Ghost,P12,SUS Score,75.0
2D Label,P01,SUS Points,33.0
2D Label,P02,SUS Points,40.0
2D Label,P03,SUS Points,35.0
2D Label,P04,SUS Points,33.0
2D Label,P05,SUS Points,40.0
2D Label,P06,SUS Points,39.0
2D Label,P07,SUS Points,35.0
2D Label,P08,SUS Points,29.0
2D Label,P10,SUS Points,30.0
2D Label,P11,SUS Points,31.0
2D Label,P12,SUS Points,40.0
3D Ghost,P02,SUS Points,39.0
3D Ghost,P03,SUS Points,34.0
3D Ghost,P04,SUS Points,34.0
3D Ghost,P05,SUS Points,28.0
3D Ghost,P06,SUS Points,35.0
3D Ghost,P07,SUS Points,30.0
3D Ghost,P08,SUS Points,32.0
3D Ghost,P09,SUS Points,37.0
3D Ghost,P10,SUS Points,40.0
3D Ghost,P11,SUS Points,18.0
3D Ghost,P12,SUS Points,30.0
